iteration,step_size,tree_depth,diverging,num_steps,accept_prob,seconds
1,2.3350647909091338e+00,1,1,1,0.0,0.001070
2,2.3023584708549680e-01,1,1,1,0.0,0.000516
3,1.6254520022727459e-01,4,0,15,0.8540870549726781,0.000443
4,1.7401141664730124e-01,4,0,15,0.9279861333278253,0.000330
5,2.5973863314017664e-01,4,0,15,0.9934567126937487,0.000352
6,5.4695574524248045e-02,4,0,9,0.32336231991513376,0.000435
7,8.6477670220770131e-02,5,0,31,0.9749303181367829,0.000430
8,1.2939742155142117e-01,5,0,31,0.9428267320513157,0.000239
9,2.0572269677715294e-01,3,0,7,0.9534771688769031,0.000291
10,2.5506850672313680e-01,3,0,7,0.869694536123215,0.000157
11,2.6031439295305403e-01,3,0,7,0.8051274207416617,0.001090
12,1.9178038350985968e-01,4,0,15,0.6994913099640409,0.000331
13,3.4137259457515207e-01,4,0,15,0.9783406345291581,0.000241
14,3.3234270005508326e-02,3,1,5,0.04698512585544261,0.000262
15,6.4000218199254277e-02,7,0,127,0.9998848037700229,0.000560
16,1.1318585781439239e-01,6,0,63,0.973924256923608,0.000357
17,1.4503269953360431e-01,3,0,7,0.870318721716357,0.000218
18,2.5151511156330836e-01,4,0,15,0.9708324441057168,0.000226
19,4.5608845700353684e-01,4,0,15,0.988157648377567,0.000159
20,4.3074491272489343e-02,1,0,1,2.1310995770708366e-23,0.000156
21,8.0801929736028399e-02,6,0,47,0.9973724356449059,0.000342
22,1.1803928808834156e-01,5,0,31,0.915397322435954,0.000343
23,1.3070512641262930e-01,3,0,7,0.8220709016771421,0.000334
24,2.3316259961572616e-01,5,0,31,0.9879987819055783,0.000269
25,5.8499134946422594e-02,4,0,15,0.3048122744743232,0.000236
26,9.7525021559296612e-02,6,0,63,0.9649513868284573,0.000330
27,1.3545932335342553e-01,4,0,15,0.9029788821100001,0.000221
28,2.0723239155432022e-01,4,0,15,0.9396145209683934,0.000210
29,3.7086528447121825e-01,2,0,3,0.9989616936892846,0.000137
30,4.2664968880834257e-02,2,1,3,0.00035760047029583046,0.000205
31,7.2888541910235818e-02,5,0,23,0.9805830297141614,0.000206
32,1.2548850244674367e-01,6,0,63,0.9867213857020621,0.000311
33,2.2150044382041401e-01,3,0,7,0.9993708447537644,0.000251
34,3.0638623078736715e-01,4,0,15,0.9108596082082713,0.000202
35,3.8738908097114902e-02,3,0,7,0.002963679583498563,0.000222
36,5.9799662809078127e-02,4,0,15,0.9496885090421913,0.000353
37,9.2329855087589313e-02,4,0,15,0.9524325486805364,0.000163
38,1.5998725128462374e-01,5,0,31,1.0,0.000272
39,1.3842187819936141e-01,3,0,7,0.730863989842651,0.000237
40,9.7781124190379112e-02,4,0,15,0.6498942641406444,0.000200
41,1.5988670785359088e-01,5,0,19,0.9821393929571883,0.000204
42,2.1568410423950998e-01,4,0,15,0.9079128831694002,0.000171
43,3.6185695026776110e-01,4,0,15,0.9978554833511668,0.000258
44,5.2045911387135275e-02,2,1,3,0.0010101011421346092,0.000199
45,8.6533797177558325e-02,4,0,15,0.9931424170993716,0.000183
46,1.2431909617109596e+00,5,0,31,0.9992741079829913,0.000308
47,4.5724251812819272e-01,2,0,3,0.33008520151667625,0.000255
48,6.7856603723891573e-01,3,0,7,0.9793962970851945,0.000254
49,7.0609881196991697e-01,2,0,3,0.8200666569112024,0.000311
50,8.1080262487383215e-01,3,0,7,0.9751921329654222,0.000229
