chain,phase,iteration,step_size,tree_depth,diverging,num_steps,seconds
1,warmup,1,2.3350647909091338e+00,1,1,1,0.746563
1,warmup,2,2.3023584708549680e-01,1,1,1,0.745052
1,warmup,3,1.6694442034480849e-02,2,1,3,2.223841
1,warmup,4,4.6391442546705680e-03,3,0,7,5.165976
1,warmup,5,2.5812293104075399e-03,6,0,63,47.598757
1,warmup,6,2.2162300539731283e-04,7,1,95,69.681848
1,warmup,7,1.9422979044545022e-04,8,0,183,130.910425
1,warmup,8,5.8766275513464866e-05,9,0,303,228.519887
1,warmup,9,5.6617154105912862e-05,7,0,127,95.514215
1,warmup,10,2.2950406699178555e-05,10,0,1023,756.107246
