chain,phase,iteration,step_size,tree_depth,diverging,accept_prob,num_steps,seconds
1,warmup,1,2.3350647909091338e+00,1,1,0.00000000,1,0.780156
1,warmup,2,2.3023584708549680e-01,1,1,0.00000000,1,0.769050
1,warmup,3,1.6694442034480849e-02,2,1,0.00000000,3,2.336334
1,warmup,4,4.6391442546705680e-03,3,0,0.51346634,7,5.371207
1,warmup,5,2.5812293104075399e-03,6,0,0.71534959,63,47.631482
1,warmup,6,2.2162300539731283e-04,7,1,0.07098802,95,71.790130
1,warmup,7,2.2638536868025105e-04,7,0,0.86394021,127,93.453349
1,warmup,8,3.8273145703375728e-04,7,0,0.99993917,127,96.171959
1,warmup,9,5.2007770465674601e-04,4,0,0.91267949,15,11.643398
1,warmup,10,1.7946124842348549e-04,7,0,0.46785704,127,96.380749
1,warmup,11,2.9119835948962513e-04,7,0,0.94931764,127,93.851716
1,warmup,12,2.5141670878217815e-04,7,0,0.74337344,127,96.053578
1,warmup,13,4.7301595154701867e-04,7,1,0.98665067,75,56.599953
1,warmup,14,7.9306397537924882e-04,7,0,0.94820012,65,49.420947
1,warmup,15,4.6391699345361048e-04,5,0,0.60772675,23,17.028349
1,warmup,16,1.1440819238126776e-04,7,0,0.32255656,127,95.878513
1,warmup,17,1.4163077213498617e-04,6,0,0.84231797,39,29.224135
1,warmup,18,2.8241204353481850e-04,7,0,0.99915293,127,95.677691
1,warmup,19,5.5989863747122671e-04,6,0,0.99969994,63,48.186027
1,warmup,20,1.0098690089610891e-03,7,0,0.97083598,127,93.682196
1,warmup,21,1.2374297598941814e-04,7,0,0.06389933,127,93.506174
1,warmup,22,3.1275300804858501e-05,7,0,0.29824721,127,95.566313
1,warmup,23,6.2301604094145744e-05,7,0,0.99999556,127,95.858622
1,warmup,24,3.9430529297077589e-05,7,0,0.60575489,127,92.565805
1,warmup,25,7.7650949138291294e-05,7,0,0.99999599,127,95.702716
1,warmup,26,2.6653425897591588e-05,7,0,0.38712127,127,93.440561
1,warmup,27,2.5121268054825270e-05,7,0,0.74011311,127,93.514671
1,warmup,28,4.8893821051283278e-05,7,0,0.99999904,127,92.476117
1,warmup,29,9.4124580109517845e-05,7,0,0.99999754,127,94.390722
1,warmup,30,1.7924276263150103e-04,7,0,0.99998819,127,93.994307
1,warmup,31,3.3057291915576355e-04,7,0,0.99211200,127,92.977888
1,warmup,32,2.1762850430193491e-04,7,0,0.61344493,127,92.994873
1,warmup,33,1.4527263165112369e-04,7,0,0.61613847,127,92.982994
1,warmup,34,1.6347860822599195e-04,7,0,0.81079560,95,69.327859
1,warmup,35,5.2456843575424941e-05,7,0,0.33438169,127,90.977546
1,warmup,36,9.6969501805501678e-05,7,0,0.99887865,127,91.372056
1,warmup,37,1.7795204605001807e-04,7,0,0.99987178,127,90.689641
1,warmup,38,2.3693735943220494e-04,4,0,0.87871662,15,10.864663
1,warmup,39,2.0481857476350944e-04,7,0,0.71108592,127,92.277156
1,warmup,40,7.4082507474078764e-05,4,0,0.36594521,15,10.894304
1,warmup,41,1.3363114084150198e-04,7,0,0.99997799,127,92.343147
1,warmup,42,2.3887796188984441e-04,7,0,0.99997958,127,92.222477
1,warmup,43,2.6904199162070707e-04,7,0,0.81684784,127,91.441168
1,warmup,44,2.8433752487664644e-04,7,0,0.79178871,127,90.702011
1,warmup,45,2.0505210142543386e-04,7,0,0.63557520,127,91.702973
1,warmup,46,3.2543335864232696e-04,7,0,0.95947178,127,90.711926
1,warmup,47,8.9980805162518922e-05,7,0,0.23583698,127,90.155887
1,warmup,48,1.0375590791456203e-04,7,0,0.82635224,127,91.681090
1,warmup,49,1.8022580648533731e-04,7,0,0.99999751,127,90.815281
1,warmup,50,2.8818529968316212e-04,7,0,0.96817199,127,91.546806
1,warmup,51,1.6322694689881797e-04,7,0,0.52772226,127,93.704379
1,warmup,52,1.0975170782488754e-04,7,0,0.59842268,127,92.081814
1,warmup,53,6.7036055603292478e-05,4,0,0.55479311,15,10.765461
1,warmup,54,4.0116103585731952e-05,7,0,0.54330272,127,91.950551
1,warmup,55,6.8479512540288321e-05,7,0,0.99998681,127,92.038956
1,warmup,56,1.1200035453808133e-04,7,0,0.98423298,127,92.816873
1,warmup,57,5.7764675316817567e-05,7,0,0.47499917,127,92.052825
1,warmup,58,9.7310451506609947e-05,7,0,0.99998189,127,91.828105
1,warmup,59,1.2443484660366641e-04,7,0,0.87916314,127,91.544649
1,warmup,60,2.0722095187491335e-04,7,0,0.99999101,127,92.110958
1,warmup,61,3.3621787292313350e-04,7,0,0.99104817,127,91.430681
1,warmup,62,1.0226365196215128e-04,7,0,0.22834060,127,91.372276
1,warmup,63,1.6291073157473661e-04,7,0,0.98360889,127,90.954935
1,warmup,64,2.3314408910099345e-04,7,0,0.93664384,127,92.117432
1,warmup,65,1.4257807477902157e-04,7,0,0.54320887,127,91.003953
1,warmup,66,2.1019290423580114e-04,6,0,0.95234408,63,45.416213
1,warmup,67,1.8030739809105491e-04,7,0,0.69981282,127,90.852806
1,warmup,68,2.6884848738230734e-04,7,0,0.96061942,127,92.682658
1,warmup,69,1.9542198485576409e-04,7,0,0.62116600,127,91.793620
1,warmup,70,4.2176597710088134e-05,7,0,0.03910710,127,92.811970
1,warmup,71,5.8914255235006170e-05,7,0,0.92901768,127,91.185862
1,warmup,72,9.4951489460123209e-05,7,0,0.99999463,127,92.624787
1,warmup,73,1.5222899094408470e-04,7,0,0.99999801,127,90.951561
1,warmup,74,1.8108009594456514e-04,7,0,0.85678969,127,91.661060
1,warmup,75,1.7272026706185393e-04,5,0,0.74942288,23,16.705578
1,warmup,76,1.7185000289149537e-04,7,0,0.77013520,127,91.221412
1,warmup,77,5.5331156899200686e-05,7,0,0.21093730,127,91.014755
1,warmup,78,8.7783376399026310e-05,7,0,0.99999834,127,90.024342
1,warmup,79,1.3057481209534114e-04,7,1,0.97013261,67,48.394369
1,warmup,80,1.3384444732826052e-04,7,0,0.78487670,127,91.441585
1,warmup,81,1.6609617943300054e-04,7,0,0.88176056,127,91.000143
1,warmup,82,1.6908280082411056e-04,7,0,0.78231553,127,90.895623
1,warmup,83,1.8112963301336854e-04,7,0,0.80855131,127,91.436739
1,warmup,84,7.5019970843985615e-05,7,0,0.32168219,127,91.096705
1,warmup,85,1.1683268994960250e-04,7,0,0.99993726,127,91.044898
1,warmup,86,9.4426876718036731e-05,7,0,0.66267926,127,91.538307
1,warmup,87,1.4625581688636067e-04,7,0,0.99999963,127,91.344519
1,warmup,88,2.2540504811906873e-04,7,0,0.99958146,127,91.469961
1,warmup,89,3.4613287965853788e-04,7,0,0.99983339,127,91.151176
1,warmup,90,2.3560452902465301e-04,7,0,0.57315210,127,92.310955
1,warmup,91,2.2323155583237164e-04,7,0,0.74653339,127,90.930284
1,warmup,92,1.7960390528233469e-04,7,0,0.65944456,127,91.300029
1,warmup,93,6.8314441462675522e-05,7,0,0.25845543,127,92.655972
